ID,Type of Defect,Date Recorded,Stage Detected,Description,Risk,Part Involved,Car Model
1,Body,12/10/2023,Testing,Side good third audience support.,High,Body Panels,Hatchback
2,Software,12/8/2013,Production,Practice truth radio top.,Medium,Other,Hatchback
3,Software,7/19/2023,Customer Delivery,Attorney any least little land.,High,System,Sedan
4,Software,3/5/2021,Testing,Tonight guess civil decision listen.,High,Other,Hatchback
5,Electrical,4/22/2023,Production,Meeting good by big up perform.,High,Electrical System,SUV
6,Body,1/8/2022,Customer Delivery,Over some pressure past yard table you.,Low,Other,Sedan
7,Other,1/16/2013,Customer Delivery,Get military stuff should exactly hour brother you.,High,Interior,Hatchback
8,Mechanical,1/8/2023,Customer Delivery,Above true behavior attention.,Medium,Suspension,SUV
9,Mechanical,8/28/2015,Production,Sister might arm resource want try.,High,Body Panels,Truck
10,Software,2/11/2021,After Sales,Candidate child visit difficult.,Low,Other,SUV
11,Mechanical,12/13/2019,Production,Ever share manager song policy.,Medium,Suspension,Hatchback
12,Other,1/2/2023,Customer Delivery,Now sing production another factor.,Low,Electrical System,Hatchback
13,Body,6/20/2022,After Sales,Service energy official stop service.,High,Other,Sedan
14,,4/1/2018,,,,,
15,Other,10/28/2023,Testing,Drop American activity factor.,Medium,Body Panels,Hatchback
16,Electrical,8/12/2019,Production,Sing to finally law old.,Medium,Suspension,Hatchback
17,Other,7/17/2023,Production,Human strong here deal accept end consumer.,High,Suspension,Hatchback
18,Body,7/26/2023,Customer Delivery,Change quality like.,High,Suspension,Truck
19,Electrical,6/25/2018,Customer Delivery,Four yeah imagine information establish wide full particular.,Medium,Suspension,Truck
20,Body,9/24/2023,After Sales,Final war until reason.,Low,Interior,SUV
21,Body,2/2/2018,Testing,Great none child teach bit assume.,Low,Engine,Truck
22,Body,11/6/2020,Production,Deep range less possible goal expect increase.,Low,Suspension,Sedan
23,Electrical,7/12/2016,Production,Reveal adult himself involve third exactly detail.,Medium,Interior,SUV
24,Other,2/13/2020,Customer Delivery,Loss think ago ground support throughout.,High,Engine,SUV
25,Other,11/23/2021,After Sales,Street book save turn start learn least relate.,Medium,Transmission,Truck
26,Mechanical,5/24/2023,Customer Delivery,Born leave behind.,Medium,Interior,Hatchback
27,Mechanical,10/29/2022,Testing,Modern so test scene impact.,Low,Body Panels,SUV
28,Software,12/18/2021,Testing,Real fight benefit give beyond door appear.,Low,System,SUV
29,Electrical,1/30/2020,After Sales,Market forward sing answer agent else.,Medium,Brakes,SUV
